ddmmyy,time,area,focus,length,sites,filename
15/06/2021,12:09,birmingham,A452,2542.41,"9092, 9093",A452_birmingham
15/06/2021,12:09,birmingham,M6,5549.01,"18212, 19227",M6_birmingham
15/06/2021,12:09,birmingham,M42,7347.07,"10560, 10337, 10398",M42_birmingham
15/06/2021,12:09,birmingham,A45,4559.31,"9490, 9491",A45_birmingham
08/03/2022,12:12,thorpe,M25,8613.81,"1910, 6134",M25_thorpe
08/03/2022,12:12,thorpe,M25_2,6190.41,"5107, 4648",M25_2_thorpe
08/03/2022,12:12,thorpe,M3,9400.57,"14547, 14484, 14496, 14463, 14433",M3_thorpe
08/03/2022,12:12,thorpe,M3_2,4360.48,"14437, 14470",M3_2_thorpe
02/11/2021,12:26,cambridge,M11,5005.66,"2166, 3092, 4178, 9676",M11_cambridge
02/11/2021,12:26,cambridge,M11_2,3308.62,"3092, 4178",M11_2_cambridge
02/11/2021,12:26,cambridge,A14,4662.76,"18577, 18594",A14_cambridge
02/11/2021,12:26,cambridge,A14_2,5764.49,"18841, 18628, 18676",A14_2_cambridge
08/03/2022,12:13,epping,M25,8327,"1548, 4695",M25_epping
08/03/2022,12:13,epping,M25_2,3690.04,"10431, 10564",M25_2_epping
08/03/2022,12:13,epping,M11,7286.01,"3798, 10340, 10519, 6776",M11_epping
08/03/2022,12:13,epping,M11_2,7575.47,"5439, 4660",M11_2_epping
08/08/2020,12:08,bristol,M4,8535.34,"6041, 5311",M4_bristol
08/08/2020,12:08,bristol,M4_2,4997.57,"5610, 1897, 5994",M4_2_bristol
08/08/2020,12:08,bristol,M5,6741.38,"3434, 3267",M5_bristol
19/04/2019,12:29,manchester,M602,5552.47,"5509, 1993",M602_manchester
19/04/2019,12:29,manchester,M60_1,2418.93,"17666, 17597",M60_1_manchester
19/04/2019,12:29,manchester,M60_2,2210.23,"17644, 17559",M60_2_manchester
19/04/2019,12:29,manchester,M60_3,1825.46,"17637, 17619, 17691",M60_3_manchester
19/04/2019,12:29,manchester,M60_4,3381.43,"17608, 17571",M60_4_manchester
19/04/2019,12:29,manchester,M60_5,2498.54,"17542, 17627",M60_5_manchester
19/04/2019,12:29,manchester,M60_6,3179.29,"17580, 17555",M60_6_manchester
