ddmmyy,time,area,focus,length,sites,filename
19/04/2019,12:48,manchester,M60_N_1,1207.09,"17661, 17616, 17597",manchester_M60_N_1
19/04/2019,12:48,manchester,M60_N_2,654.677,"17649,  17587",manchester_M60_N_2
19/04/2019,12:48,manchester,M60_N_3,635.028,"17559, 17633",manchester_M60_N_3
19/04/2019,12:48,manchester,M60_N_4,1096.2,"17608, 17248",manchester_M60_N_4
19/04/2019,12:48,manchester,M60_N_5,1234.57,"17288, 17850, 17278",manchester_M60_N_5
19/04/2019,12:48,manchester,M60_S_1,634.706,"17636, 17666",manchester_M60_S_1
19/04/2019,12:48,manchester,M60_S_2,914.027,"17618, 17622, 17651",manchester_M60_S_2
19/04/2019,12:48,manchester,M60_S_3,762.729,17644,manchester_M60_S_3
19/04/2019,12:48,manchester,M60_S_4,1042.73,"17605, 17571",manchester_M60_S_4
19/04/2019,12:48,manchester,M60_S_5,999.569,"17245, 17285, 17555",manchester_M60_S_5
19/04/2019,12:48,manchester,M602_E_1,2103.56,"5509, 2227",manchester_M602_E_1
19/04/2019,12:48,manchester,M602_W_1,2232.9,"1993, 1563",manchester_M602_W_1
08/08/2020,11:08,bristol,M4_N_1,1860.01,"5944, 5994, 3852, 1367",bristol_M4_N_1
08/08/2020,11:08,bristol,M4_N_2,2942.42,"1382, 2646, 2569, 6041, 1260, 1561",bristol_M4_N_2
08/08/2020,11:08,bristol,M4_S_2,3005.79,"4358, 644,  5286, 969, 5311, 5451, 4613",bristol_M4_S_2
08/08/2020,11:08,bristol,M5_E_1,2212.99,"3071, 3434, 1532, 5545, 4785",bristol_M5_E_1
08/08/2020,11:08,bristol,M5_W_1,2079.81,"754, 3267, 212, 4139, 430",bristol_M5_W_1
08/03/2022,11:13,epping,M11_N_1,3170.33,5439,epping_M11_N_1
08/03/2022,11:13,epping,M11_S_1,3342.89,4660,epping_M11_S_1
08/03/2022,11:13,epping,M11_S_2,3047.39,6776,epping_M11_S_2
08/03/2022,11:13,epping,M25_E_1,1700.18,10444,epping_M25_E_1
08/03/2022,11:13,epping,M25_E_2,935.323,"10444, 10564",epping_M25_E_2
08/03/2022,11:13,epping,M25_E_3,3765.37,"4695, 3776",epping_M25_E_3
08/03/2022,11:13,epping,M25_W_1,1664.06,10538,epping_M25_W_1
08/03/2022,11:13,epping,M25_W_2,1003.54,"10538, 10431, 10422",epping_M25_W_2
08/03/2022,11:13,epping,MS5_W_3,3260.71,"1548, 6271",epping_MS5_W_3
02/11/2021,11:26,cambridge,A14_N_1,2016.28,18676,cambridge_A14_N_1
02/11/2021,11:26,cambridge,M11_N_1,1747.05,3092,cambridge_M11_N_1
02/11/2021,11:26,cambridge,A14_S_1,1957.67,18841,cambridge_A14_S_1
02/11/2021,11:26,cambridge,M11_S_1,1599.53,4178,cambridge_M11_S_1
02/11/2021,11:26,cambridge,A14_E_1,1199.95,18577,cambridge_A14_E_1
02/11/2021,11:26,cambridge,A14_W_1,1190.9,18594,cambridge_A14_W_1
08/03/2022,11:12,thorpe,M25_N_1,3708.64,"5427, 2952, 1910, 3319, 1811",thorpe_M25_N_1
08/03/2022,11:12,thorpe,M25_N_2,2265.94,"2149, 3714, 5107, 778",thorpe_M25_N_2
08/03/2022,11:12,thorpe,M25_S_1,3684.39,"245, 5109, 3132, 6134, 3513, 962",thorpe_M25_S_1
08/03/2022,11:12,thorpe,M25_S_2,2319.56,"5384, 4648, 5001, 1522",thorpe_M25_S_2
08/03/2022,11:12,thorpe,M3_E_1,1638.77,"14561, 14437",thorpe_M3_E_1
08/03/2022,11:12,thorpe,M3_W_1,1622.02,14470,thorpe_M3_W_1
15/06/2021,11:09,birmingham,M6_N_1,1065.62,2330,birmingham_M6_N_1
15/06/2021,11:09,birmingham,M6_S_1,1416.72,"18227, 18190",birmingham_M6_S_1
15/06/2021,11:09,birmingham,M6T_S_1,1149.55,"18224, 18199",birmingham_M6T_S_1
15/06/2021,11:09,birmingham,M42_N_1,2255.19,10398,birmingham_M42_N_1
15/06/2021,11:09,birmingham,M42_S_1,1998.53,10560,birmingham_M42_S_1
15/06/2021,11:09,birmingham,A452_N_1,1249.39,9092,birmingham_A452_N_1
15/06/2021,11:09,birmingham,A452_S_1,1196.53,9093,birmingham_A452_S_1
